date,unique_id,value
2008-01-01,CN_CPI_NT_YOY,7.1
2008-01-01,CN_CPI_NT_YOY,7.1
2008-01-01,CN_CPI_NT_YOY,7.1
2008-02-01,CN_CPI_NT_YOY,8.7
2008-02-01,CN_CPI_NT_YOY,8.7
2008-02-01,CN_CPI_NT_YOY,8.7
2008-02-01,CN_CPI_NT_YOY,8.7
2008-03-01,CN_CPI_NT_YOY,8.3
2008-03-01,CN_CPI_NT_YOY,8.3
2008-03-01,CN_CPI_NT_YOY,8.3
2008-03-01,CN_CPI_NT_YOY,8.3
2008-04-01,CN_CPI_NT_YOY,8.5
2008-04-01,CN_CPI_NT_YOY,8.5
2008-04-01,CN_CPI_NT_YOY,8.5
2008-05-01,CN_CPI_NT_YOY,7.7
2008-05-01,CN_CPI_NT_YOY,7.7
2008-05-01,CN_CPI_NT_YOY,7.7
2008-05-01,CN_CPI_NT_YOY,7.7
2008-05-01,CN_CPI_NT_YOY,7.7
2008-06-01,CN_CPI_NT_YOY,7.1
2008-06-01,CN_CPI_NT_YOY,7.1
2008-06-01,CN_CPI_NT_YOY,7.1
2008-06-01,CN_CPI_NT_YOY,7.1
2008-07-01,CN_CPI_NT_YOY,6.3
2008-07-01,CN_CPI_NT_YOY,6.3
2008-07-01,CN_CPI_NT_YOY,6.3
2008-08-01,CN_CPI_NT_YOY,4.9
2008-08-01,CN_CPI_NT_YOY,4.9
2008-08-01,CN_CPI_NT_YOY,4.9
2008-08-01,CN_CPI_NT_YOY,4.9
2008-08-01,CN_CPI_NT_YOY,4.9
2008-09-01,CN_CPI_NT_YOY,4.6
2008-09-01,CN_CPI_NT_YOY,4.6
2008-09-01,CN_CPI_NT_YOY,4.6
2008-09-01,CN_CPI_NT_YOY,4.6
2008-10-01,CN_CPI_NT_YOY,4.0
2008-10-01,CN_CPI_NT_YOY,4.0
2008-10-01,CN_CPI_NT_YOY,4.0
2008-10-01,CN_CPI_NT_YOY,4.0
2008-11-01,CN_CPI_NT_YOY,2.4
2008-11-01,CN_CPI_NT_YOY,2.4
2008-11-01,CN_CPI_NT_YOY,2.4
2008-11-01,CN_CPI_NT_YOY,2.4
2008-12-01,CN_CPI_NT_YOY,1.2
2008-12-01,CN_CPI_NT_YOY,1.2
2009-01-01,CN_CPI_NT_YOY,1.0
2009-01-01,CN_CPI_NT_YOY,1.0
